10.3607941013965,8.02208546878275,01,Ain
7.36561434259912,13.0124869015185,02,Aisne
8.37127288661954,8.01861032255606,03,Allier
10.0183092956351,5.01712042982072,04,Al.-H.-P.
10.7316287842704,6.03146683940785,05,H.-Al.
10.7360108217273,4.0227408691676,06,Al.-Mar.
8.7421075694934,6.02799169318117,07,Ardèc.
8.34292300950711,13.014193990893,08,Arden.
4.35077257225599,3.01595442681045,09,Ariège
7.99822813268047,11.022325528226,10,Aube
5.7098519633433,4.0139615523844,11,Aude
6.71772057842894,6.00698839712691,12,Avey.
8.72903766646979,4.01923523920209,13,B.-Rhô.
3.68538876293177,12.02789262103,14,Calva.
7.7298950216244,6.02622363632899,15,Cantal
4.72598929258674,7.01660982719531,16,Char.
3.71377674471774,7.01484177034313,17,Cha.-M.
7.35906033875055,8.01684226570389,18,Cher
5.73820184045573,7.01837788404748,19,Corr.
11.3882866233544,1.01951340331892,2A,H.-Cor.
11.3686627164822,2.01511231352525,2B,B.-Cor.
8.71596776344619,10.010478785223,21,C.-Or
1.9947606073885,11.0118391220683,22,C.-Arm.
6.73296244784423,7.02011545716082,23,Creu.
4.72819936365195,6.00351325090022,24,Dord.
10.7425648255759,9.01838550498219,25,Doubs
9.00609674776611,5.01535237296854,26,Drôme
4.69763941547431,12.0121934955322,27,Eure
4.00173376264599,11.0153447520338,28,E.-Loi.
1.00003810467354,10.9926343666051,29,Finis.
7.7342770590813,4.01749766608874,30,Gard
4.73254329643531,4.01225446300989,31,H.-Gar.
3.72033074856631,4.01048640615771,32,Gers
3.73343875626346,6.00177567778688,33,Giro.
6.73955455636634,3.99829291062549,34,Hér.
2.71250023815421,9.99999237906529,35,I.-et-V.
5.71640596719188,9.00960618819898,36,Indre
4.72164535980338,9.00786861508564,37,In.-Loi.
10.7294568178787,7.02709623335302,38,Isère
9.34858155352754,8.02031741193057,39,Jura
3.00262922247414,5.00486596681083,40,Landes
5.6967820603197,10.0052050984053,41,L.-Cher
8.72248366262122,7.02359060338751,42,Loire
9.7368681768819,6.02972926629451,43,H.-Loi.
2.69722026406539,9.0043325013813,44,Loi.-A.
6.71120467925391,8.99387657896241,45,Loiret
5.72292186636691,6.02271800636348,46,Lot
3.99738982986263,5.00660353992417,47,L.-Gar.
7.01657553298912,5.01187722674186,48,Loz.
3.72692285708842,8.98866385962238,49,N.-Loi.
3.35166803208413,13.0054756415874,50,Man.
8.71158572598929,12.0192047554633,51,Marne
9.72818031131518,10.0122468420752,52,H.-Mar
3.72471278602321,10.0017604359175,53,Maye.
9.01047878522301,11.0066264027283,54,M.-Mos.
9.70638443805133,12.0034751462267,55,Meuse
1.73519157124621,9.99828528969078,56,Morb.
10.7011069407663,12.0226799016899,57,Mos.
7.70596528664241,8.99561415207575,58,Nièvre
6.99695162611694,14.0074761369482,59,Nord
6.35340179473012,13.0107188446663,60,Oise
2.97206927429649,11.0135462114428,61,Orne
6.34898165259969,15.0369119972565,62,P.-Calais
7.74517499571322,7.02188351401299,63,P.-Dôme
2.72557014117782,4.00874883304437,64,Pyr-A.
3.37350201002153,2.99678015508602,65,H.-Py.
5.38047516527902,3.00028578505153,66,Py.-Or.
11.7308095337893,12.007011259931,67,B.-Rhin
11,11.010101548955,68,H.-Rhin
9.71724427000972,7.02532817650085,69,Rhône
9.71290033722636,9.01658696439118,70,H.-Saô.
8.71813972983787,9.01484939127784,71,Saô.-Loi.
4.7020214529312,10.003467525292,72,Sarthe
11.7416693657477,7.02886429020519,73,Sav.
11.3730066492655,8.02385352563492,74,H.-Sav.
1.34031283936975,15.0106959818622,75,Paris
5.34118924686113,13.0089507878141,76,Sei.-Mar.
7.71686322327433,12,77,S.-et-M.
5.7098519633433,12.0139615523844,78,Yve.
4.35732657610456,8.01159906262503,79,Deux-S.
5.96724903309391,14.0231447787071,80,Som.
6.00432488044659,5.0275763522396,81,Tarn
5.02705431821213,5.00840208051517,82,T.-Gar.
9.72379827385829,4.02097281231543,83,Var
8.02878808085812,5.01364528359403,84,Vau.
3.34511402823556,8.00983100577286,85,Vendée
5.38699106445406,8.01339760321604,86,Vienne
6.36429973136205,8.01510469259055,87,H.-Vien.
10.005201287938,11.0258311581916,88,Vosges.
7.72120715605769,10.0087412121097,89,Yonne
10.7229409187037,10.0139844151885,90,T. Belf.
6.70899460818869,10.0069731552575,91,Esso.
4.96159048907349,11.0170213576695,92,H.-Sei.
6.98605368948502,11.003090289024,93,S.-S.-D.
5.97380303694248,11.0187894145217,94,V.-Mar.
6.6871606302513,12.0156686417589,95,V.-Oise
1.35342084706689,1.00198525349134,971,Guad.
2.38312344008993,0.986316611732427,972,Mart.
3.37784594280488,1.00552136719569,973,Guy.
4.35515460971288,1.0072284565702,974,Réu.
5.36736715758188,1.00899651342237,976,Mayo.
